iter,ELBO
0,-136.520037
10,-214.196730
20,-126.008444
30,-143.786218
40,-94.762202
50,-151.309171
60,-112.338696
70,-115.624676
80,-126.315097
90,-101.741485
100,-127.864334
110,-72.947927
120,-118.571985
130,-103.838489
140,-67.715705
150,-95.380625
160,-98.307727
170,-50.507723
180,-89.734670
190,-80.460121
200,-91.792719
210,-78.461373
220,-56.835578
230,-63.235021
240,-71.494154
250,-38.562794
260,-101.912492
270,-82.278411
280,-61.746604
290,-48.773117
300,-66.527866
310,-92.696873
320,-88.256631
330,-60.559866
340,-68.317608
350,-52.239173
360,-63.284135
370,-63.078405
380,-87.887244
390,-48.841079
400,-50.953964
410,-46.156091
420,-56.571502
430,-63.113616
440,-65.844263
450,-66.458963
460,-60.082631
470,-65.616076
480,-47.994499
490,-49.815731
500,-50.516130
510,-51.830631
520,-83.978279
530,-55.666017
540,-71.490578
550,-50.581760
560,-69.053406
570,-55.414415
580,-55.992515
590,-67.410510
600,-56.790849
610,-61.338735
620,-38.789587
630,-58.067669
640,-48.546917
650,-47.736775
660,-52.442638
670,-48.332977
680,-52.491874
690,-45.874177
700,-54.957296
710,-48.466663
720,-54.620076
730,-46.591118
740,-51.965704
750,-46.204835
760,-49.218840
770,-45.810684
780,-49.631837
790,-40.913287
800,-54.807984
810,-48.340134
820,-39.569288
830,-38.950250
840,-47.223966
850,-49.138165
860,-45.199119
870,-50.168582
880,-61.083095
890,-45.370210
900,-43.102078
910,-43.576488
920,-48.413079
930,-47.362169
940,-53.319286
950,-53.207331
960,-46.638792
970,-52.692376
980,-45.125842
990,-45.832214
